Track,Album Name,Artist,Release Date,Spotify Streams,TrackNameLength
Yonaguni,Yonaguni,Bad Bunny,6/4/2021,"1,39,86,34,184",8
Heathens,Heathens,Twenty One Pilots,6/16/2016,"1,77,71,96,966",8
Whoopty,Whoopty,CJ,8/20/2020,"77,56,64,145",7
Super Shy,NewJeans 'Super Shy',NewJeans,7/7/2023,"54,74,71,596",8
Happier,Happier - Single,Marshmello,8/16/2018,"2,14,38,21,605",7
HARLEY QUINN,HARLEY QUINN - Single,Fuerza Regida,10/18/2023,"46,22,84,590",11
Baby Don't Hurt Me,Baby Don't Hurt Me - Single,David Guetta,4/7/2023,"50,92,31,024",14
Butter,Butter,BTS,5/21/2021,"1,25,79,74,135",6
Cinderella,WE DON'T TRUST YOU,Future,3/22/2024,"12,49,45,674",10
Calma - Remix,Calma (Remix),Pedro Capï¿,10/5/2018,"1,15,37,53,974",10
CAN'T STOP THE FEELING! (Original Song From Dreamworks Animation's "Trolls"),CAN'T STOP THE FEELING! (Original Song From Dreamworks Animation's "Trolls"),Justin Timberlake,5/6/2016,"1,73,33,02,434",60
Say So,Hot Pink,Doja Cat,11/7/2019,"1,19,92,70,601",5
Ransom,Ransom,Lil Tecca,5/22/2019,"1,35,59,71,796",6
Romantic Homicide,Romantic Homicide,d4vd,7/20/2022,"1,13,65,04,636",16
Pink Skies,Pink Skies,Zach Bryan,5/24/2024,"6,02,40,739",9
Rockabye (feat. Sean Paul & Anne-Marie),Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,10/21/2016,"1,52,81,07,667",29
Danza Kuduro - Cover,A collection of Western music that will get you excited,MUSIC LAB JPN,11/15/2023,"1,62,74,29,837",16
Cool,JnD Mix,,5/25/2024,,4
Rich Men North of Richmond,Rich Men North of Richmond - Single,Oliver Anthony Music,8/11/2023,"21,45,98,468",22
BESO,RR,ROSALï¿½,3/24/2023,"64,72,01,484",4
MTG QUEM Nï¿½ï¿½O QUER SO,MTG QUEM Nï¿½ï¿½O QUER SOU EU - Si,DJ TOPO,5/10/2024,"5,11,98,446",15
Que Vuelvas,Que Vuelvas - Single,Carin Leon,12/9/2022,"68,48,53,927",10
Pretty Green Eyes (Sunset Ibiza Mix),Pretty Green Eyes (Sunset Ibiza Mix),KETTAMA,6/14/2024,,29
Just Wanna Rock,Just Wanna Rock,Lil Uzi Vert,10/17/2022,"66,55,19,026",13
Mood Swings (feat. Lil Tjay),Shoot For The Stars Aim For The Moon,Pop Smoke,7/3/2020,"78,50,16,247",21
Fuck Love (feat. Trippie Redd),17,XXXTENTACION,8/25/2017,"1,61,52,74,494",23
Rich Flex,Her Loss,Drake,11/4/2022,"81,22,74,757",8
Standing Next to You,GOLDEN,Jung Kook,11/3/2023,"67,58,65,902",17
Congratulations,Congratulations,Post Malone,11/4/2016,"1,98,48,02,459",15
Do It To It,Do It To It,ACRAZE,8/20/2021,"80,50,19,111",8
Tusa,Tusa,KAROL G,11/7/2019,"1,49,75,11,486",4
For The Night (feat. Lil Baby & DaBaby),Shoot For The Stars Aim For The Moon,Pop Smoke,7/3/2020,"1,11,93,50,842",28
Good Good,Good Good,USHER,8/4/2023,"5,38,25,007",8
Austin,Austin - Single,Dasha,11/17/2023,"27,30,23,490",6
Search & Rescue,Search & Rescue,Drake,4/7/2023,"33,78,58,357",12
TULUM,TULUM,Peso Pluma,6/28/2023,"39,01,82,196",5
Shivers,#NAME?,Ed Sheeran,1/1/2020,"1,56,80,58,093",7
Coup du marteau,Coup du marteau,Tam Sir,12/8/2023,"2,49,33,240",13
Adderall (Corvette Corvette),Adderall (Corvette Corvette),Popp Hunna,10/14/2020,"9,03,83,224",24
Full Senyum Sayang,Full Senyum Sayang,Evan Loss,4/28/2022,"1,82,96,870",16
Sunroof,Sunroof,Nicky Youre,12/3/2021,"89,07,52,779",7
Watching Yourself Being Born,Neuroscape,Blush Response,4/4/2023,,25
Los del Espacio,Los del Espacio - Single,LIT killah,6/1/2023,"37,38,98,429",13
Taste (feat. Offset),Taste (feat. Offset),Tyga,5/16/2018,"1,35,81,05,253",15
MAMIII,MAMIII,Becky G,2/10/2022,"91,17,97,058",6
Until I Found You,Until I Found You,Stephen Sanchez,9/1/2021,"1,02,04,52,066",14
exes,exes,Tate McRae,11/17/2023,"32,31,00,055",4
Banana (feat. Shaggy),Banana (feat. Shaggy),Conkarah,8/16/2019,"2,77,47,363",16
Stick Season,Stick Season,Noah Kahan,7/8/2022,"96,58,65,213",11
Need To Know,Need To Know,Doja Cat,6/11/2021,"1,17,80,76,856",10
kompa pasiï¿½,kompa pasiï¿½,ýýýýýýýýýý,4/12/2024,"2,94,58,027",9
Quï¿½ï¿½ Ago,Pa' Luego Es Tarde,Yuridia,10/20/2022,"39,43,81,902",5
Last Last,Last Last,Burna Boy,5/12/2022,"41,07,22,289",8
Ngopi Maszeh,Ngopi Maszeh,Happy Asmara,1/29/2023,"80,34,198",11
500lbs,500lbs,Lil Tecca,7/21/2023,"35,05,84,176",6
Knife Talk (with 21 Savage ft. Project Pat),Certified Lover Boy,Drake,9/3/2021,"73,26,52,170",33
BILLIE EILISH.,BILLIE EILISH.,Armani White,5/19/2022,"35,94,16,593",12
ýýýýýýýýýýýý,ýýýýýýýýýýýý,YOASOBI,4/12/2023,"35,65,59,943",0
Lï¿½ï¿½ï¿½AMOUR DE ,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,"8,45,75,291",8
Thinkinï¿½ï¿½ï¿½ B,One Thing At A Time,Morgan Wallen,3/3/2023,"40,63,19,778",8
Madonna,Madonna - Single,Natanael Cano,3/8/2024,"27,28,38,329",7
deja vu,deja vu,Olivia Rodrigo,4/1/2021,"1,60,69,75,517",6
6. A.M.,Motion is Emotion,Azul,10/7/2022,"1,186",3
CONTIGO (with Tiï¿½ï¿½,CONTIGO (with Tiï¿½ï¿½,KAROL G,2/15/2024,"16,21,65,853",13
Sequï¿½ï¿½ncia da,Sequï¿½ï¿½ncia da,TRASHXRL,5/8/2023,"14,86,30,357",10
WILDFLOWER,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,"10,08,38,516",10
Doja,Doja,Central Cee,7/21/2022,"67,65,19,766",4
Kill This Love,Kill This Love,BLACKPINK,4/4/2019,"82,08,40,650",12
Lan,Lan - Single,Zeynep Bastï¿½,3/8/2024,"8,12,46,715",3
"Good Luck, Babe!","Good Luck, Babe!",Chappell Roan,4/5/2024,"17,62,90,078",12
Sweet but Psycho,Sweet but Psycho,Ava Max,8/17/2018,"1,66,87,41,024",14
Hey Mor,Hey Mor,Ozuna,10/6/2022,"98,61,32,265",6
Ferrari,Ferrari,James Hype,3/15/2022,"62,60,10,147",7
Falling,Falling,Trevor Daniel,10/5/2018,"1,60,60,23,895",7
positions,positions,Ariana Grande,10/23/2020,"1,43,28,30,108",9
Where Are You Now,Where Are You Now,Lost Frequencies,7/30/2021,"1,22,33,29,465",14
Amor Prohibido - Remasterizado 2024/30th Anniversary,Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,3/22/2024,"30,21,77,116",45
Save Your Tears,After Hours,The Weeknd,3/20/2020,"1,99,55,11,952",13
Happier Than Ever,Happier Than Ever,Billie Eilish,7/30/2021,"1,32,18,78,145",15
This Is What You Came For,This Is What You Came For,Calvin Harris,4/29/2016,"1,74,67,90,923",20
China,China,Anuel AA,7/19/2019,"1,17,80,76,574",5
Let It Go - From "Frozen"/Soundtrack Version,Frozen (Original Motion Picture Soundtrack / Deluxe Edition),Idina Menzel,1/1/2013,"75,93,74,819",34
Moonlight,?,XXXTENTACION,3/16/2018,"1,88,54,31,727",9
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,5/10/2024,"25,00,80,413",28
Smart,EASY,LE SSERAFIM,2/19/2024,"15,92,56,689",5
That's What I Like,24K Magic,Bruno Mars,11/17/2016,"2,07,54,59,887",14
Commando,Commando - Single,Mavokali,9/28/2022,"2,16,67,023",8
The Business,The Business,Tiï¿½ï¿,9/16/2020,"1,19,16,35,193",11
Ride It,Ride It,Regard,7/26/2019,"1,34,94,27,877",6
Mwaki,SURRENDER,Zerb,9/27/2023,"12,12,34,000",5
BICHOTA,BICHOTA,KAROL G,10/23/2020,"86,80,91,483",7
Renklensin,Renklensin - Single,Reynmen,4/19/2024,"5,49,40,563",10
Bad idea,Missing,Kurochuu,6/9/2024,"8,62,03,995",7
writhe,writhe,daine,2/21/2023,,6
The Hills,The Hills,The Weeknd,5/27/2015,"2,30,67,40,926",8
Seven (feat. Latto) (Clean Ver.),Seven (feat. Latto),Jung Kook,7/14/2023,"1,67,35,57,134",22
SKINNY,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,"7,72,12,437",6
The Girl From Ipanema,Instrumental Bossa Nova,Stan Getz,6/6/2024,,18
Te Felicito,Te Felicito,Shakira,4/21/2022,"71,95,93,291",10
Que Onda,Que Onda - Single,Calle 24,8/30/2023,"64,25,48,537",7
Stumblin' In,Stumblin' In,CYRIL,11/10/2023,"18,07,84,576",10
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,4/12/2024,"31,19,28,522",13
STAR WALKIN' (League of Legends Worlds Anthem),STAR WALKIN' (League of Legends Worlds Anthem) - Single,Lil Nas X,9/22/2022,"42,81,64,381",37
Desesperados,VICE VERSA,Rauw Alejandro,12/10/2021,"1,02,14,80,638",12
"Young Miko: Bzrp Music Sessions, Vol. 58","Young Miko: Bzrp Music Sessions, Vol. 58",Bizarrap,1/10/2024,"22,40,33,701",31
Sugar,V (Deluxe),Maroon 5,8/29/2014,"1,83,80,92,894",5
I DONï¿½ï¿½ï¿½T WANNA DO THIS A,King of the Dead,Juliï¿½ï¿½n Kh,3/18/2024,"56,44,44,844",17
Igual Que Un ï¿½ï¿½ngel (with Peso Pl,ORQUï¿½ï¿½,Kali Uchis,1/12/2024,"26,35,68,994",24
Jhoome Jo Pathaan (From "Pathaan") [Arabic Version],Jhoome Jo Pathaan (From "Pathaan") [Arabic Version] - Single,Abd El Fattah Grini,1/14/2023,"19,93,244",39
Old Town Road - Remix,Old Town Road,Lil Nas X,4/5/2019,"1,52,71,06,099",16
Let Me Love You,Encore,DJ Snake,8/5/2016,"2,14,70,28,486",12
Envolver,Envolver - Single,Anitta,11/11/2021,"63,52,41,142",8
Oublie-moi,Oublie-moi,Emkal,9/16/2022,"1,79,92,999",9
Malohat,Malohat,Xamdam Sobirov,4/20/2024,"75,486",7
MAESTRO,SEVENTEEN BEST ALBUM '17 IS RIGHT HERE',SEVENTEEN,4/29/2024,"3,52,44,286",7
NUEVA VIDA,Gï¿½ï¿½N,Peso Pluma,6/22/2023,"25,34,64,894",9
you broke me first,you broke me first,Tate McRae,4/17/2020,"1,43,94,65,700",15
Relationship (feat. Future),Beautiful Thugger Girls,Young Thug,6/16/2017,"45,89,57,128",22
Beggin',Chosen,Mï¿½ï¿½ne,12/8/2017,"1,60,12,93,263",6
Faint,Papercuts,Linkin Park,4/12/2024,"67,00,09,914",5
Pretty - Sped Up,Pretty,MEYY,6/7/2023,"18,67,282",12
Hawï¿½,Hawï¿½,Maluma,7/29/2020,"1,28,91,86,767",3
LA FALDA,LA FALDA - Single,Myke Towers,11/22/2023,"36,73,99,860",7
act ii: date @ 8,act ii: date @ 8,4batz,12/7/2023,"15,33,64,964",10
Cradles,Cradles,Sub Urban,1/4/2019,"73,70,97,685",7
Roses - Imanbek Remix,Roses (Imanbek Remix),SAINt JHN,5/4/2019,"1,92,79,61,994",17
Angel Numbers / Ten Toes,11:11,Chris Brown,11/10/2023,"17,95,65,178",19
Never Lose Me,Never Lose Me - Single,Flo Milli,11/30/2023,"27,81,32,516",11
Reggaeton Champagne,Kittyponeo,Bellakath,10/5/2023,"22,44,29,894",18
MASHA ULTRAFUNK,MASHA ULTRAFUNK,HISTED,3/8/2024,"3,24,35,333",14
Under The Influence,Indigo (Extended),Chris Brown,10/4/2019,"1,24,97,60,413",17
Life Goes On,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",Oliver Tree,7/17/2020,"56,82,30,113",10
Si Una Vez (Remasterizado 2024/30th Anniversary),Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,3/22/2024,"21,22,72,036",40
BATTER UP,BABYMONSTER Debut Digital Single [BATTER UP],BABYMONSTER,11/27/2023,"12,14,97,542",8
SI NO ES CONTIGO,SI NO ES CONTIGO,Cris Mj,5/23/2024,"4,52,87,928",13
Trance (with Travis Scott & Young Thug),HEROES & VILLAINS,Metro Boomin,12/2/2022,"63,73,25,281",30
Rock and A Hard Place,Rock and A Hard Place,Bailey Zimmerman,6/10/2022,"41,28,45,771",17
obsessed,GUTS (spilled),Olivia Rodrigo,3/22/2024,"12,99,68,407",8
Eyes Closed,Eyes Closed,Imagine Dragons,4/3/2024,"5,12,24,852",10
Wanna Be,Wanna Be (Alternate Versions),GloRilla,4/3/2024,"6,68,36,198",7
Don't Let Me Down,Pop Party,The Chainsmokers,1/1/2016,"1,88,88,29,482",13
DDU-DU DDU-DU,SQUARE UP,BLACKPINK,6/15/2018,"70,17,26,499",10
telepatï¿½,Sin Miedo (del Amor y Otros Demonios) ï¿½,Kali Uchis,11/18/2020,"1,15,16,29,030",7
Wake Me Up,TRUE,Avicii,1/1/2013,"2,32,50,17,580",8
Overdrive (feat. Norma Jean Martine),Overdrive (feat. Norma Jean Martine),Ofenbach,10/6/2023,"23,24,17,498",29
Chulo pt.2,Chulopt2,Bad Gyal,6/22/2023,"31,85,67,928",8
All Girls Are The Same,All Girls Are The Same,Juice WRLD,4/13/2018,"1,61,53,53,665",18
Push Up - Main Edit,Push Up - Single,Creeds,3/31/2023,"27,42,29,438",14
Kings & Queens,Kings & Queens,Ava Max,3/12/2020,"95,54,39,608",11
Adore You,Adore You,Harry Styles,12/6/2019,"1,67,01,64,200",8
HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,Travis Scott,10/4/2019,"1,62,51,49,693",16
UNAVAILABLE (feat. Musa Keys),Timeless,Davido,3/30/2023,"15,53,90,490",23
Million Dollar Baby (Vhs),Million Dollar Baby - Single,Tommy Richman,4/26/2024,"4,87,20,820",20
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",Taki Taki,DJ Snake,9/28/2018,"1,57,02,33,605",34
Chaleya (From "Jawan"),Chaleya (From "Jawan"),Anirudh Ravichander,8/14/2023,"33,45,78,317",16
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook,11/20/2022,"41,90,16,792",59
ADIVINO,ADIVINO - Single,Myke Towers,4/25/2024,"11,86,31,919",7
THE BOX MEDLEY FUNK 2,THE BOX MEDLEY FUNK 2,THE BOX,4/18/2024,"5,13,90,127",17
Cruel Summer,Lover,Taylor Swift,8/23/2019,"2,18,82,47,133",11
No Me Queda Mï¿½ï¿½s (Remasterizado 2024/30th Annivers,Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,3/22/2024,"17,12,42,868",40
Breathe,2093,Yeat,2/16/2024,"13,11,00,973",7
Unforgettable,EPIC AF,French Montana,1/1/2017,"2,06,56,97,126",13
EASY,EASY,LE SSERAFIM,2/19/2024,"14,18,03,939",4
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Peso Pluma: Bzrp Music Sessions, Vol. 55 - Single",Bizarrap,5/31/2023,"43,40,19,386",31
Faded,Faded,Benjamin Richter,7/28/2017,"1,20,162",5
Lose My Breath (Feat. Charlie Puth),Lose My Breath,Stray Kids,5/10/2024,"2,99,94,527",27
ýýýýýýýýýý ýýýýýýýýýýýý,ýýýýýýýýýý ýýýýýýýýýýýý,ALEX&RUS,7/3/2019,"5,28,30,200",0
Move,Move - Single,Adam Port,6/7/2024,"59,17,083",4
F.N,F.N,Lil Tjay,8/9/2019,"73,19,33,924",2
Say You Won't Let Go,Say You Won't Let Go,James Arthur,9/9/2016,"2,83,09,62,669",15
Blank Space,1989 (Deluxe),Taylor Swift,1/1/2014,"1,82,97,33,410",10
Girls Like You,Red Pill Blues (Deluxe),Maroon 5,11/3/2017,"39,96,89,964",12
HUMBLE.,HUMBLE.,Kendrick Lamar,3/31/2017,"2,22,68,69,580",6
Forget Me,Forget Me,Lewis Capaldi,9/9/2022,"34,35,56,188",8
Sabka Malik Ek,Sabka Malik Ek,Dada Black Sheep,8/12/2022,"2,754",12
Scared To Start,Scared To Start,Michael Marcagi,1/12/2024,"28,41,19,669",13
Super Freaky Girl,Super Freaky Girl,Nicki Minaj,8/12/2022,"54,93,82,975",15
Miracle (with Ellie Goulding),Miracle (with Ellie Goulding),Calvin Harris,3/10/2023,"42,59,99,315",24
Somebody That I Used To Know,Making Mirrors (Deluxe),Gotye,1/1/2011,"1,75,28,26,514",23
We Don't Talk Anymore (feat. Selena Gomez),Nine Track Mind,Charlie Puth,11/5/2015,"1,85,98,86,400",32
Oh No,Cold As Ice,Kreepa,12/13/2019,"4,02,84,121",4
Pop Out (feat. Lil Tjay),Pop Out (feat. Lil TJay),Polo G,2/7/2019,"85,80,59,276",17
7 Years,Lukas Graham (Blue Album),Lukas Graham,6/16/2015,"1,91,62,03,330",6
Something in the Orange,Something in the Orange,Zach Bryan,4/22/2022,"89,15,78,597",20
AMARGURA,MAï¿½ï¿½ANA SERï¿½ï¿,KAROL G,2/24/2023,"62,91,02,459",8
Happy - From "Despicable Me 2",538 Hitzone Best Of 2013,Pharrell Williams,1/1/2013,"1,37,97,86,786",22
I Wanna Party,I Wanna Party - Single,,5/31/2024,,11
Bailando Bachata,Bailando Bachata - Single,Chayanne,5/25/2023,"13,67,24,343",15
La Bebe (Remix) [Apple Music Live],Apple Music Live: Peso Pluma,Peso Pluma,12/6/2023,,25
Treat You Better,Treat You Better,Shawn Mendes,6/3/2016,"2,16,40,74,552",14
Feliz Cumpleaï¿½ï¿½os Fe,Feliz Cumpleaï¿½ï¿½os Fe,Feid,8/19/2022,"94,48,33,760",16
Let Her Go,Let Her Go,Passenger,7/27/2012,"2,25,27,13,547",8
Fall Back,Fall Back / Selfish Game - Single,Lithe,3/21/2024,"7,82,27,549",8
Stressed Out,Stressed Out,Twenty One Pilots,4/28/2015,"2,31,35,32,702",11
Astronaut In The Ocean,Astronaut In The Ocean (International Remixes),Masked Wolf,1/1/2019,"1,25,16,75,613",19
All of Me,Love In The Future (South Africa Tour Edition),John Legend,1/1/2012,"2,38,24,07,025",7
2055,2055,Sleepy Hallow,4/14/2021,"81,17,00,245",4
Bandit,Bandit - Single,Don Toliver,2/1/2024,"15,25,97,421",6
Redbone,Redbone,Childish Gambino,11/17/2016,"1,61,51,52,539",7
Yimmy Yimmy,Yimmy Yimmy (feat. Jacqueline Fernandez) - Single,Tayc,3/8/2024,"2,85,43,791",10
This Is The Thanks I Get?! - From "Wish",This Is The Thanks I Get?! (From "Wish"),Chris Pine,10/25/2023,"1,50,90,071",27
We Don't Talk About Bruno,Encanto (Original Motion Picture Soundtrack),Carolina Gaitï¿½ï¿½n - La G,11/19/2021,"50,27,81,351",20
You Proof,You Proof,Morgan Wallen,5/13/2022,"64,44,37,397",8
Enemy (with JID) - from the series Arcane League of Legends,Mercury - Act 1,Imagine Dragons,9/3/2021,"1,50,23,82,072",46
Break My Heart,Break My Heart,Dua Lipa,3/25/2020,"1,19,86,89,895",12
Shut Down,BORN PINK,BLACKPINK,9/16/2022,"65,48,18,451",8
Regalo De Dios,PRESENTE,Juliï¿½ï¿½n ï¿½ï¿½lvarez y su Norteï,11/17/2023,"20,50,50,873",12
Never Let Go,Never Let Go - Single,Jung Kook,6/7/2024,"2,68,91,849",10
Toyour ï¿½ï¿½ï¿,Amrat ï¿½ï¿½ï¿½ï,Rasha Nahas,1/20/2023,"11,360",6
Chill Vibes,Chill Vibes,Tollan Kim,3/31/2022,"12,12,312",10
MIA (feat. Drake),MIA (feat. Drake),Bad Bunny,10/11/2018,"1,31,82,54,846",12
Toosie Slide,Toosie Slide,Drake,4/3/2020,"1,05,92,62,917",11
MIENTRAS ME CURO DEL CORA,MAï¿½ï¿½ANA SERï¿½ï¿,KAROL G,2/24/2023,"42,63,41,106",21
Down Bad,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,"21,03,85,853",7
Ballin' (with Roddy Ricch),Perfect Ten,Mustard,6/28/2019,"90,73,46,612",20
La llama que Baila,La llama que Baila,El Reino Infantil,6/10/2022,"6,65,611",15
Ain't No Love In Oklahoma (From Twisters: The Album),Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,5/16/2024,"3,36,61,899",40
Vegas (From the Original Motion Picture Soundtrack ELVIS),Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,5/6/2022,"55,37,83,547",48
El Merengue,El Merengue - Single,Marshmello,3/3/2023,"52,84,20,867",10
Made For Me,Made For Me,Muni Long,9/15/2023,"14,29,45,230",9
Let's Go 4,Let's Go 4,Mc IG,9/11/2023,"26,97,85,626",7
TELEKINESIS,UTOPIA,Travis Scott,7/28/2023,"31,36,93,195",11
Daqui pra Sempre,Daqui pra Sempre,Manu,9/22/2023,"18,17,84,966",14
Martin & Gina,THE GOAT,Polo G,5/15/2020,"88,57,56,212",10
"thank u, next","thank u, next",Ariana Grande,11/3/2018,"1,87,81,96,824",10
One Dance,One Dance (feat. Wizkid & Kyla) - Single,Drake,4/4/2016,"3,19,22,04,066",8
ily (i love you baby) (feat. Emilee),ily (feat. Emilee),Surf Mesa,11/26/2019,"91,24,61,674",25
Hope,?,XXXTENTACION,3/16/2018,"1,44,27,03,001",4
TRUSTFALL,TRUSTFALL,P!nk,1/27/2023,"25,58,98,884",9
Intentions (feat. Quavo),Intentions,Justin Bieber,2/7/2020,"1,17,79,60,398",19
PRC,PRC,Peso Pluma,1/24/2023,"66,81,03,212",3
Lemonade,Lemonade,Internet Money,8/14/2020,"1,32,04,95,311",8
WITHOUT YOU,F*CK LOVE (SAVAGE),The Kid LAROI,11/6/2020,"92,79,08,363",10
Sensational (feat. Davido & Lojay),Sensational (feat. Davido & Lojay) - Single,Chris Brown,10/20/2023,"7,06,52,012",26
LET GO,LET GO,Central Cee,12/15/2022,"41,56,99,405",5
Blister In The Sun,Violent Femmes (Deluxe Edition),Violent Femmes,12/1/2023,"25,03,21,751",15
Savage (feat. Beyoncï¿½ï¿½) - R,Savage (feat. Beyoncï¿½ï¿½) [Re,Megan Thee Stallion,4/29/2020,"42,89,86,855",17
No Idea,No Idea,Don Toliver,5/29/2019,"92,27,61,340",6
Love Yourself,Love Yourself,Justin Bieber,11/9/2015,"2,42,35,83,406",12
Tï¿½ï¿½ ,Dolido Pero No Arrepentido - EP,Fuerza Regida,2/9/2024,"18,81,54,454",1
Cari Mama Muda (Senorita Joven) - Original Mix,Cari Mama Muda (Senorita Joven),Carella,2/13/2021,"1,49,072",36
Need A Favor,NEED A FAVOR,Jelly Roll,12/9/2022,"16,68,66,092",10
Heeriye (feat. Arijit Singh),Heeriye (feat. Arijit Singh),Jasleen Royal,7/25/2023,"29,63,99,608",22
Work from Home (feat. Ty Dolla $ign),Pop Party,Fifth Harmony,1/1/2016,"1,42,92,77,695",26
Anabella,Anabella,Khaid,7/14/2023,"1,46,45,123",8
Cuando Te Amï¿,Cuando Te Amï¿½ï¿½ - Si,Cupula Roja,6/8/2024,,10
Bam Bam (feat. Ed Sheeran),#NAME?,Camila Cabello,10/29/2021,"90,78,21,800",19
The Motto,The Motto,Tiï¿½ï¿,11/4/2021,"81,81,99,643",8
Single Soon,Single Soon,Selena Gomez,8/25/2023,"20,55,55,865",10
Falling Down - Bonus Track,Falling Down,Lil Peep,9/19/2018,"1,15,60,60,152",21
Close,Close - Single,Kush & TJ,9/14/2023,,5
Sin Pijama,Sin Pijama,Becky G,4/20/2018,"78,53,89,574",9
Wasted On You,Dangerous: The Double Album,Morgan Wallen,1/8/2021,"71,72,26,454",11
BREAK MY SOUL,BREAK MY SOUL,Beyoncï¿,6/21/2022,"44,35,64,590",11
Nimbu Kharbuja Bhail 2,Nimbu Kharbuja Bhail 2,Khesari Lal Yadav,12/11/2023,"93,96,018",19
Murder In My Mind,Murder In My Mind,Kordhell,1/21/2022,"66,82,85,368",14
Unstoppable,Unstoppable,Sia,1/21/2016,"1,28,52,37,951",11
traitor,SOUR,Olivia Rodrigo,5/21/2021,"1,56,49,79,439",7
goosebumps,Birds In The Trap Sing McKnight,Travis Scott,9/16/2016,"2,39,67,37,761",10
DIME QUE,DIME QUE,Ian G.,7/16/2021,,7
Quï¿½ï¿½ Mï¿½ï¿,Quï¿½ï¿½ Mï¿½ï¿,J Balvin,5/28/2021,"81,18,10,737",3
Hrs and Hrs,Public Displays of Affection,Muni Long,11/19/2021,"24,16,32,869",9
Boy With Luv (feat. Halsey),MAP OF THE SOUL : PERSONA,BTS,4/12/2019,"1,16,58,42,896",20
Broccoli,Broccoli - Single,ati2x06,1/17/2024,"84,64,35,891",8
Angel Baby,Angel Baby,Troye Sivan,9/9/2021,"53,34,16,336",9
Way 2 Sexy (with Future & Young Thug),Certified Lover Boy,Drake,9/3/2021,"55,97,59,920",27
Bhauji Lenge Lenge,Bhauji Lenge Lenge,Khesari Lal Yadav,4/5/2024,"13,19,711",16
SORRY 4 THAT MUCH,SORRY 4 THAT MUCH,Feid,6/7/2024,"87,57,910",14
I WANNA BE YOUR SLAVE,Teatro d'ira - Vol. I,Mï¿½ï¿½ne,3/19/2021,"1,05,36,26,902",17
PUFFIN ON ZOOTIEZ,I NEVER LIKED YOU,Future,4/29/2022,"39,51,67,576",15
3D (feat. Jack Harlow),3D (feat. Jack Harlow),Jung Kook,9/29/2023,"57,32,49,007",16
XO Tour Llif3,XO TOUR Llif3,Lil Uzi Vert,3/24/2017,"2,12,34,58,039",11
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),Rihanna,10/28/2022,"37,82,82,960",60
Desire (with Sam Smith),Desire (with Sam Smith),Calvin Harris,7/28/2023,"22,65,19,256",18
Cute,Cute,Aurel Surya Lie,8/29/2022,"1,42,732",4
Cold Heart - PNAU Remix,Diamonds (Deluxe),Elton John,11/10/2017,"2,01,11,21,774",18
Con Altura,Con Altura,ROSALï¿½,3/28/2019,"77,06,53,954",9
ýýýýýý (HEYA),IVE SWITCH,IVE,4/29/2024,"3,21,89,908",4
LA CANCIï¿½,OASIS,J Balvin,6/28/2019,"1,70,63,25,903",7
In My Mind,In My Mind,Dynoro,11/15/2017,"1,43,24,73,324",8
Chandelier,Todo Exitos 2014 (Los Nï¿½ï¿½mero 1 Del A,Sia,1/1/2014,"1,72,92,64,620",10
Eastside (with Halsey & Khalid),Eastside (with Halsey & Khalid),benny blanco,7/12/2018,"1,73,65,30,084",24
Godzilla (feat. Juice WRLD),Music To Be Murdered By,Eminem,1/17/2020,"1,45,66,35,235",21
All About That Bass,Los Nï¿½ï¿½meros 1 De 40 (El Disco De Los ï¿½ï,Meghan Trainor,1/1/2014,"81,56,61,095",16
Besharam Rang (From "Pathaan"),Besharam Rang (From "Pathaan"),Vishal-Shekhar,12/12/2022,"21,82,91,402",23
MR. TAKE YA B*TCH (FEAT. CHRISEANROCK),MR. TAKE YA B*TCH (FEAT. CHRISEANROCK),Lil Mabu,10/17/2023,"6,47,54,747",28
Cheques,Still Rollin,Shubh,5/19/2023,"27,65,05,971",7
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],Riton,1/15/2021,"97,94,40,925",37
VAGABUNDO,VAGABUNDO,Sebastian Yatra,5/12/2023,"33,76,50,898",9
Cheap Thrills,Cheap Thrills,Sia,12/17/2015,"1,77,90,46,979",12
